Frequent phrases from 4 or more words:

                                        sequence                                   support
2545                                                   <{mln},{dlrs},{a},{year}> 0.0016801493
2547                                                   <{pct},{from},{a},{year}> 0.0011408421
2580                                                  <{In},{a},{filing},{with}> 0.0011926986
2595                                              <{company},{said},{it},{will}> 0.0011926986
2596                                        <{The},{company},{said},{it},{will}> 0.0010060153
2597                                                  <{Inc},{said},{it},{will}> 0.0009956441
2652                                             <{Proceeds},{will},{be},{used}> 0.0010267579
2706                                              <{on},{Tariffs},{and},{Trade}> 0.0011304709
2707                                  <{Agreement},{on},{Tariffs},{and},{Trade}> 0.0010889857
2708                        <{General},{Agreement},{on},{Tariffs},{and},{Trade}> 0.0010889857
2718                                                  <{pct},{of},{the},{total}> 0.0019705455
2841                                                   <{will},{be},{used},{to}> 0.0022194565
2848                                                  <{said},{it},{plans},{to}> 0.0023231695
2857                                                <{said},{it},{expects},{to}> 0.0021364862
2867                                                 <{said},{it},{agreed},{to}> 0.0016179216
2876                                                <{for},{the},{first},{time}> 0.0011408421
3000                                                 <{a},{filing},{with},{the}> 0.0014727235
3001                                            <{In},{a},{filing},{with},{the}> 0.0011926986
3007                                              <{The},{company},{said},{the}> 0.0060049782
3023                                                    <{the},{end},{of},{the}> 0.0023231695
3034                                                   <{a},{result},{of},{the}> 0.0010060153
3039                                                  <{the},{value},{of},{the}> 0.0012134412
3041                                               <{billion},{dlrs},{in},{the}> 0.0010889857
3042                                                   <{mln},{dlrs},{in},{the}> 0.0018253474
3053                                                  <{mln},{dlrs},{for},{the}> 0.0010993570
3089                                      <{General},{Agreement},{on},{Tariffs}> 0.0010993570
3116                                            <{shares},{of},{common},{stock}> 0.0014208670
3125                                              <{in},{the},{United},{States}> 0.0019705455
3132                                               <{said},{in},{a},{statement}> 0.0047396806
3179                                                 <{mln},{Nine},{mths},{Shr}> 0.0021261149
3218                                         <{filed},{with},{the},{Securities}> 0.0010267579
3219                                        <{filing},{with},{the},{Securities}> 0.0014519809
3220                                    <{a},{filing},{with},{the},{Securities}> 0.0013793819
3221                               <{In},{a},{filing},{with},{the},{Securities}> 0.0011615847
3297                                                      <{S},{and},{P},{said}> 0.0010267579
3302                                              <{Bank},{of},{England},{said}> 0.0012964115
3303                                        <{The},{Bank},{of},{England},{said}> 0.0012341838
3305                                  <{U.S.},{Agriculture},{Department},{said}> 0.0011719560
3306                            <{the},{U.S.},{Agriculture},{Department},{said}> 0.0009956441
3309                                              <{and},{Poor's},{Corp},{said}> 0.0011823273
3310                                   <{Standard},{and},{Poor's},{Corp},{said}> 0.0011719560
3314                                             <{The},{company},{also},{said}> 0.0019498029
3355                                              <{to},{holders},{of},{record}> 0.0011926986
3386                                              <{in},{the},{third},{quarter}> 0.0010060153
3391                                             <{in},{the},{fourth},{quarter}> 0.0012341838
3393                                              <{in},{the},{first},{quarter}> 0.0016697781
3517                                          <{of},{the},{total},{outstanding}> 0.0011097283
3518                                    <{pct},{of},{the},{total},{outstanding}> 0.0010993570
3579                                       <{and},{chief},{executive},{officer}> 0.0022090853
3580                            <{chairman},{and},{chief},{executive},{officer}> 0.0011304709
3581                           <{president},{and},{chief},{executive},{officer}> 0.0010060153
